epoch,layer,norm,mean,std
21,batch_normalization_1/W_0,1.5256801,1.5256801,0.0
21,batch_normalization_1/W_1,0.8768145,-0.8768145,0.0
21,batch_normalization_1/W_2,0.33948174,0.33948174,0.0
21,batch_normalization_1/W_3,0.057674393,0.057674393,0.0
21,conv2d_1/W_0,2.388712,0.006251942,0.19896112
21,conv2d_1/W_1,1.2983557,-0.13549396,0.29495654
21,dense_1/W_0,2.5156,-0.108682595,0.61943793
21,dense_1/W_1,0.47609848,-0.47609848,0.0
22,batch_normalization_1/W_0,1.5385835,1.5385835,0.0
22,batch_normalization_1/W_1,0.87025994,-0.87025994,0.0
22,batch_normalization_1/W_2,0.33932692,0.33932692,0.0
22,batch_normalization_1/W_3,0.057484295,0.057484295,0.0
22,conv2d_1/W_0,2.4051812,0.0073940638,0.20029533
22,conv2d_1/W_1,1.3097886,-0.14156872,0.2952625
22,dense_1/W_0,2.5359895,-0.11056936,0.6242812
22,dense_1/W_1,0.48954087,-0.48954087,0.0
23,batch_normalization_1/W_0,1.5415983,1.5415983,0.0
23,batch_normalization_1/W_1,0.88571155,-0.88571155,0.0
23,batch_normalization_1/W_2,0.33331847,0.33331847,0.0
23,batch_normalization_1/W_3,0.05765479,0.05765479,0.0
23,conv2d_1/W_0,2.422885,0.0075476766,0.20176595
23,conv2d_1/W_1,1.3215859,-0.15494052,0.29181376
23,dense_1/W_0,2.551969,-0.106194414,0.6290921
23,dense_1/W_1,0.49418578,-0.49418578,0.0
24,batch_normalization_1/W_0,1.5343499,1.5343499,0.0
24,batch_normalization_1/W_1,0.8905105,-0.8905105,0.0
24,batch_normalization_1/W_2,0.33518225,0.33518225,0.0
24,batch_normalization_1/W_3,0.057509754,0.057509754,0.0
24,conv2d_1/W_0,2.427252,0.0063068317,0.20217265
24,conv2d_1/W_1,1.3381063,-0.16368183,0.29174697
24,dense_1/W_0,2.5571694,-0.104575664,0.63068104
24,dense_1/W_1,0.506033,-0.506033,0.0
25,batch_normalization_1/W_0,1.5373718,1.5373718,0.0
25,batch_normalization_1/W_1,0.8922489,-0.8922489,0.0
25,batch_normalization_1/W_2,0.33870956,0.33870956,0.0
25,batch_normalization_1/W_3,0.057262897,0.057262897,0.0
25,conv2d_1/W_0,2.4412217,0.0077249757,0.20328842
25,conv2d_1/W_1,1.3660526,-0.17194825,0.29506785
25,dense_1/W_0,2.5793936,-0.104164876,0.6363797
25,dense_1/W_1,0.520129,-0.520129,0.0
26,batch_normalization_1/W_0,1.5360265,1.5360265,0.0
26,batch_normalization_1/W_1,0.8849538,-0.8849538,0.0
26,batch_normalization_1/W_2,0.33905256,0.33905256,0.0
26,batch_normalization_1/W_3,0.0572882,0.0572882,0.0
26,conv2d_1/W_0,2.4518888,0.0075335223,0.20418513
26,conv2d_1/W_1,1.3827133,-0.1793783,0.29549438
26,dense_1/W_0,2.5867698,-0.1042244,0.63823855
26,dense_1/W_1,0.5322956,-0.5322956,0.0
27,batch_normalization_1/W_0,1.5552131,1.5552131,0.0
27,batch_normalization_1/W_1,0.8748762,-0.8748762,0.0
27,batch_normalization_1/W_2,0.337881,0.337881,0.0
27,batch_normalization_1/W_3,0.05760898,0.05760898,0.0
27,conv2d_1/W_0,2.465253,0.008061958,0.20527953
27,conv2d_1/W_1,1.3962352,-0.1867161,0.2949223
27,dense_1/W_0,2.6125073,-0.1008784,0.6452892
27,dense_1/W_1,0.5442624,-0.5442624,0.0
28,batch_normalization_1/W_0,1.5472884,1.5472884,0.0
28,batch_normalization_1/W_1,0.8803769,-0.8803769,0.0
28,batch_normalization_1/W_2,0.33859703,0.33859703,0.0
28,batch_normalization_1/W_3,0.05722283,0.05722283,0.0
28,conv2d_1/W_0,2.470231,0.008168782,0.20569043
28,conv2d_1/W_1,1.4209346,-0.19533604,0.29670656
28,dense_1/W_0,2.622897,-0.0981733,0.6483335
28,dense_1/W_1,0.5567766,-0.5567766,0.0
29,batch_normalization_1/W_0,1.5482897,1.5482897,0.0
29,batch_normalization_1/W_1,0.8679753,-0.8679753,0.0
29,batch_normalization_1/W_2,0.3390724,0.3390724,0.0
29,batch_normalization_1/W_3,0.057444174,0.057444174,0.0
29,conv2d_1/W_0,2.4735267,0.007586195,0.20598759
29,conv2d_1/W_1,1.4411314,-0.20230532,0.29812124
29,dense_1/W_0,2.6363487,-0.09909202,0.6515955
29,dense_1/W_1,0.5733776,-0.5733776,0.0
30,batch_normalization_1/W_0,1.5541008,1.5541008,0.0
30,batch_normalization_1/W_1,0.867295,-0.867295,0.0
30,batch_normalization_1/W_2,0.33942172,0.33942172,0.0
30,batch_normalization_1/W_3,0.056787264,0.056787264,0.0
30,conv2d_1/W_0,2.4893885,0.0074937036,0.20731366
30,conv2d_1/W_1,1.4690938,-0.2081169,0.3026172
30,dense_1/W_0,2.66773,-0.09762951,0.6597481
30,dense_1/W_1,0.5910856,-0.5910856,0.0
31,batch_normalization_1/W_0,1.554474,1.554474,0.0
31,batch_normalization_1/W_1,0.872281,-0.872281,0.0
31,batch_normalization_1/W_2,0.34057122,0.34057122,0.0
31,batch_normalization_1/W_3,0.056907654,0.056907654,0.0
31,conv2d_1/W_0,2.4989781,0.009189485,0.20804533
31,conv2d_1/W_1,1.4804686,-0.22082579,0.29702303
31,dense_1/W_0,2.6816344,-0.092614986,0.66398054
31,dense_1/W_1,0.5956362,-0.5956362,0.0
32,batch_normalization_1/W_0,1.5688782,1.5688782,0.0
32,batch_normalization_1/W_1,0.8700579,-0.8700579,0.0
32,batch_normalization_1/W_2,0.33747697,0.33747697,0.0
32,batch_normalization_1/W_3,0.0576541,0.0576541,0.0
32,conv2d_1/W_0,2.518028,0.0070023006,0.20971881
32,conv2d_1/W_1,1.5020865,-0.22366898,0.3016433
32,dense_1/W_0,2.7170515,-0.09484775,0.6726083
32,dense_1/W_1,0.6105798,-0.6105798,0.0
33,batch_normalization_1/W_0,1.5799085,1.5799085,0.0
